order_id,user_id,city,city_level,brand,product_id,product_type,price,quantity,order_amount,scenario,gender,age_group,member,social_touch,motive,order_date,year
1,100000,武汉,二线,蜜雪冰城,1001,低糖茶饮,28.42,1,28.42,堂食,女,18-24岁,0,0,品质,2019-07-04,2019
2,100001,深圳,一线,奈雪,1002,轻乳茶,29.03,3,87.09,自取,女,45岁以上,1,0,尝鲜,2019-11-30,2019
3,100002,深圳,一线,茶百道,1003,燕麦茶,21.8,2,43.6,外卖,女,45岁以上,0,0,社交,2019-04-21,2019
4,100003,杭州,二线,其余,1004,奶茶/芝士/其他,21.16,2,42.32,堂食,女,25-34岁,0,1,尝鲜,2019-06-04,2019
5,100004,深圳,一线,蜜雪冰城,1005,轻乳茶,23.84,1,23.84,堂食,女,18-24岁,0,0,尝鲜,2019-01-29,2019
6,100005,深圳,一线,蜜雪冰城,1006,轻乳茶,22.01,3,66.03,外卖,女,18-24岁,0,1,尝鲜,2019-04-25,2019
7,100006,南京,二线,茶百道,1007,奶茶/芝士/其他,22.85,3,68.55,外卖,女,18-24岁,0,0,品质,2019-08-14,2019
8,100007,武汉,二线,喜茶,1008,燕麦茶,14.15,2,28.3,外卖,男,45岁以上,1,1,尝鲜,2019-12-11,2019
9,100008,襄阳,三线,蜜雪冰城,1009,水果茶,25.85,3,77.55,外卖,女,35-44岁,1,0,社交,2019-11-30,2019
10,100009,汕头,三线,喜茶,1010,奶茶/芝士/其他,24.84,1,24.84,堂食,女,18-24岁,0,0,品质,2019-10-28,2019
11,100010,武汉,二线,蜜雪冰城,1011,低糖茶饮,14.05,2,28.1,外卖,男,18-24岁,0,1,品质,2019-02-09,2019
12,100011,汕头,三线,茶百道,1012,轻乳茶,33.73,2,67.46,外卖,女,18-24岁,1,1,尝鲜,2019-04-01,2019
13,100012,广州,一线,喜茶,1013,低糖茶饮,13.8,1,13.8,外卖,男,35-44岁,0,1,尝鲜,2019-05-06,2019
14,100013,上海,一线,奈雪,1014,燕麦茶,9.74,3,29.22,堂食,女,18-24岁,0,1,品质,2019-10-24,2019
15,100014,汕头,三线,古茗,1015,水果茶,27.97,2,55.94,外卖,女,35-44岁,0,1,尝鲜,2019-03-29,2019
16,100015,广州,一线,喜茶,1016,水果茶,16.42,2,32.84,堂食,女,45岁以上,0,0,尝鲜,2019-03-04,2019
