city,distinct_brands,total_orders,total_drinks,avg_drinks_per_order,min_drinks_per_order,max_drinks_per_order,avg_order_amount,min_order_amount,max_order_amount,avg_price,min_price,max_price
广州,8,2857,5698,1.99,1,3,42.58,8.02,104.94,21.39,8.01,34.99
上海,8,2784,5608,2.01,1,3,43.04,8.0,104.91,21.31,8.0,34.99
北京,8,2768,5570,2.01,1,3,42.68,8.01,104.97,21.23,8.0,35.0
深圳,8,2751,5484,1.99,1,3,43.01,8.04,105.0,21.57,8.01,35.0
西安,8,2156,4284,1.99,1,3,42.85,8.02,104.73,21.55,8.01,35.0
成都,8,2151,4312,2.0,1,3,42.92,8.06,104.88,21.48,8.0,34.99
武汉,8,2125,4284,2.02,1,3,42.55,8.0,104.88,21.12,8.0,35.0
杭州,8,2121,4251,2.0,1,3,42.51,8.01,104.91,21.34,8.01,34.97
南京,8,2093,4140,1.98,1,3,42.16,8.0,105.0,21.27,8.0,35.0
重庆,8,2076,4145,2.0,1,3,43.11,8.03,104.97,21.52,8.02,34.99
汕头,8,1353,2768,2.05,1,3,44.22,8.0,104.94,21.6,8.0,34.98
洛阳,8,1339,2711,2.02,1,3,43.22,8.01,104.91,21.36,8.0,34.97
株洲,8,1331,2647,1.99,1,3,42.64,8.09,104.88,21.4,8.05,34.99
桂林,8,1325,2650,2.0,1,3,42.68,8.0,104.67,21.19,8.0,34.9
襄阳,8,1292,2584,2.0,1,3,42.42,8.18,104.04,21.23,8.05,34.91
南昌,8,1278,2622,2.05,1,3,43.98,8.01,104.97,21.39,8.01,34.99
